par,modelo,peso_modelo,distancia_km,tiempo_determinista_min,costo_objetivo,costo_astar,costo_dijkstra,diferencia_abs,coincide,NE_astar,NE_dijkstra,ejecucion_astar_ms,ejecucion_dijkstra_ms,ruta_cambio,difiere_referencia,media_simulada_min,desviacion_simulada_min,percentil_90_min,IC_pct,lambda_riesgo,muestra
Estadio Oeste → San Pedro,Menor tiempo,travel_time_min,9.809289373757938,9.956304922566137,9.956304922566137,9.956304922566135,9.956304922566137,1.7763568394002505e-15,True,4235,4877,49.19950000476092,23.672599985729903,True,False,9.999639570535678,1.5862290983629217,12.056834195647934,83.8,6.5,Original
Cuatro Reinas → Paso Ancho,Menor tiempo,travel_time_min,5.558033633341159,8.22107514218168,8.22107514218168,8.22107514218168,8.22107514218168,0.0,True,3094,3245,35.86229999200441,15.073099988512695,False,False,8.257874264983286,1.3363087999330645,10.035802318022844,82.89999999999999,6.5,Original
Hatillo → Curridabat,Menor tiempo,travel_time_min,9.193287353421631,8.981229779547716,8.981229779547716,8.981229779547716,8.981229779547716,0.0,True,3197,4105,49.0214999881573,23.05980000528507,False,False,8.934600581023824,1.3718007639794265,10.750613954983235,84.39999999999999,6.5,Original
Validación 01,Menor tiempo,travel_time_min,2.3945439548685674,3.3426019770255455,3.3426019770255455,3.342601977025545,3.3426019770255455,4.440892098500626e-16,True,611,882,9.25119998282753,4.49079999816604,False,False,3.337310960716503,0.551648269843211,4.103543827494557,82.6,6.5,Adicional
Validación 02,Menor tiempo,travel_time_min,8.086153341672743,8.844071357878898,8.844071357878898,8.844071357878896,8.844071357878898,1.7763568394002505e-15,True,3492,4395,54.617199988570064,25.81709998776205,False,False,8.82133675404061,1.3775742181974122,10.654834469107962,84.2,6.5,Adicional
Validación 03,Menor tiempo,travel_time_min,3.239931053060207,5.42872507582467,5.42872507582467,5.4287250758246675,5.42872507582467,2.6645352591003757e-15,True,1044,2368,21.630600007483736,15.105099999345839,True,False,5.459472285488484,0.8502525258648019,6.5502839635457155,83.7,6.5,Adicional
Validación 04,Menor tiempo,travel_time_min,5.135507286824819,7.82698612536766,7.82698612536766,7.82698612536766,7.82698612536766,0.0,True,3053,2961,39.18540000449866,14.229800028260797,False,False,7.833156446471329,1.1942896934010803,9.453414370297239,84.1,6.5,Adicional
Validación 05,Menor tiempo,travel_time_min,14.154697646957441,13.971938594815596,13.971938594815596,13.971938594815596,13.971938594815596,0.0,True,5853,5921,96.57779999542981,28.161800000816584,True,False,13.91532333049925,2.133971964578047,16.61200866804264,83.89999999999999,6.5,Adicional
Validación 06,Menor tiempo,travel_time_min,2.2928573563740398,3.842101679381061,3.842101679381061,3.842101679381061,3.842101679381061,0.0,True,796,1074,12.414500000886619,4.745799989905208,False,False,3.830022638445289,0.6055821734004779,4.62864437884316,82.5,6.5,Adicional
Validación 07,Menor tiempo,travel_time_min,0.9199055882680927,1.4602916156655346,1.4602916156655346,1.4602916156655343,1.4602916156655346,2.220446049250313e-16,True,86,134,5.908299994189292,0.6442999874707311,False,False,1.4657841707720427,0.24860500222671428,1.7911939030031288,82.0,6.5,Adicional
Validación 08,Menor tiempo,travel_time_min,8.910757456610012,11.295475562586272,11.295475562586272,11.29547556258627,11.295475562586272,1.7763568394002505e-15,True,4461,5776,68.94220001413487,28.425099997548386,True,False,11.37451036677909,1.7250144718116878,13.673182388380052,83.3,6.5,Adicional
Validación 09,Menor tiempo,travel_time_min,8.311527796962194,9.190403182330334,9.190403182330334,9.190403182330334,9.190403182330334,0.0,True,4537,5168,55.94239998026751,25.49379999982193,True,False,9.226735420829474,1.3773733506586223,11.01989049919397,83.8,6.5,Adicional
Validación 10,Menor tiempo,travel_time_min,9.265099540577529,9.27966845839688,9.27966845839688,9.27966845839688,9.27966845839688,0.0,True,4156,3923,46.16269998950884,22.213299991562963,False,False,9.288728734458923,1.4066566697877836,10.993572095360157,85.39999999999999,6.5,Adicional
Validación 11,Menor tiempo,travel_time_min,3.6552493381991633,5.021263854930554,5.021263854930554,5.021263854930554,5.021263854930554,0.0,True,1050,1805,26.57269997871481,9.613900008844212,False,False,5.035600630155796,0.7791474539488121,6.05531498303522,83.39999999999999,6.5,Adicional
Validación 12,Menor tiempo,travel_time_min,5.7261669650153895,5.452613688678282,5.452613688678282,5.452613688678282,5.452613688678282,0.0,True,1204,1779,16.257999988738447,8.111300005111843,False,False,5.469363628200034,0.8796492478500904,6.580601123564678,84.0,6.5,Adicional
Validación 13,Menor tiempo,travel_time_min,9.220843968846804,10.573979681345985,10.573979681345985,10.573979681345984,10.573979681345985,1.7763568394002505e-15,True,4959,5365,69.76529999519698,26.433899998664856,True,False,10.551085851956973,1.7054859304401875,12.726444994757102,83.2,6.5,Adicional
Validación 14,Menor tiempo,travel_time_min,4.322681074358053,4.439999121343787,4.439999121343787,4.439999121343785,4.439999121343787,1.7763568394002505e-15,True,678,1465,17.785900010494515,11.671299987938255,False,False,4.429758027173324,0.6736829228044067,5.339966597413976,84.8,6.5,Adicional
Validación 15,Menor tiempo,travel_time_min,3.3997067150253137,5.13791668796512,5.13791668796512,5.137916687965119,5.13791668796512,8.881784197001252e-16,True,1478,2659,20.24929999606684,12.580999988131225,False,False,5.1346829798015605,0.7837210388686389,6.223777085129617,83.0,6.5,Adicional
Validación 16,Menor tiempo,travel_time_min,1.373227222604148,1.8161611823822172,1.8161611823822172,1.816161182382217,1.8161611823822172,2.220446049250313e-16,True,183,380,6.611200020415708,1.8288000137545168,False,False,1.809685460510463,0.28628637303396526,2.201380460999859,82.8,6.5,Adicional
Validación 17,Menor tiempo,travel_time_min,6.4667649859812,9.644033809077017,9.644033809077017,9.644033809077012,9.644033809077017,5.329070518200751e-15,True,4272,5617,55.86789999506436,28.50610000314191,True,False,9.63749556235164,1.3952628392311832,11.535930856958531,85.5,6.5,Adicional
Validación 18,Menor tiempo,travel_time_min,3.2058421475090175,4.61273994217188,4.61273994217188,4.6127399421718795,4.61273994217188,8.881784197001252e-16,True,327,500,13.48110000253655,3.434799989918247,False,False,4.645751222054085,0.7559191298022494,5.645379524522936,83.7,6.5,Adicional
Validación 19,Menor tiempo,travel_time_min,1.4546541714722272,2.3670934841812192,2.3670934841812192,2.3670934841812192,2.3670934841812192,0.0,True,202,219,11.840399994980544,1.063200004864484,False,False,2.3658639303666122,0.367316163751475,2.866471662759539,83.2,6.5,Adicional
Validación 20,Menor tiempo,travel_time_min,8.746213756328412,8.412470080462132,8.412470080462132,8.412470080462132,8.412470080462132,0.0,True,2176,3673,24.169999989680946,17.4284000240732,False,False,8.501201935241552,1.3531989718470712,10.38450674989325,81.89999999999999,6.5,Adicional
Validación 21,Menor tiempo,travel_time_min,7.057173009980735,7.79892392692877,7.79892392692877,7.79892392692877,7.79892392692877,0.0,True,2200,4719,30.57750000152737,23.684399988269433,True,False,7.7997570100941305,1.2215612193105456,9.461502724736025,82.69999999999999,6.5,Adicional
Validación 22,Menor tiempo,travel_time_min,2.7185093562956095,3.7020747782034165,3.7020747782034165,3.702074778203415,3.7020747782034165,1.3322676295501878e-15,True,273,160,6.882500019855797,0.5777000042144209,False,False,3.7239198483092424,0.585075925799006,4.475624503841915,83.89999999999999,6.5,Adicional
Validación 23,Menor tiempo,travel_time_min,5.341485811706092,6.2249251294905115,6.2249251294905115,6.2249251294905115,6.2249251294905115,0.0,True,1663,2817,20.737199985887855,15.22790000308305,True,False,6.241819317790123,0.9673003189012739,7.568231249666111,82.8,6.5,Adicional
