Provincia,Cantón,Distrito,Densidad poblacional,Población total
San José,San José,Carmen,1851.677852,2759
San José,San José,Merced,7183.636364,15804
San José,San José,Hospital,7716.566265,25619
San José,San José,Catedral,6056.962025,14355
San José,San José,Zapote,6882.517483,19684
San José,San José,San Francisco de Dos Ríos,8212.878788,21682
San José,San José,Uruca,5581.525626,46829
San José,San José,Mata Redonda,3139.617486,11491
San José,San José,Pavas,8938.28877,83573
San José,San José,Hatillo,13813.04348,60363
San José,San José,San Sebastián,12650.37783,50222
San José,Escazú,Escazú,2779.249448,12590
San José,Escazú,San Antonio,1565.389151,26549
San José,Escazú,San Rafael,2481.671779,32361
San José,Desamparados,Desamparados,9573.192771,31783
San José,Desamparados,San Miguel,1789.784442,38194
San José,Desamparados,San Juan de Dios,6871.22807,19583
San José,Desamparados,San Rafael Arriba,7432.817337,24008
San José,Desamparados,San Antonio,4521.73913,9360
San José,Desamparados,Frailes,209.1047813,4111
San José,Desamparados,Patarrá,803.2745592,12756
San José,Desamparados,San Cristóbal,190.0479616,4755
San José,Desamparados,Rosario,233.3333333,3465
San José,Desamparados,Damas,5084.90566,13475
San José,Desamparados,San Rafael Abajo,10598.0198,21408
San José,Desamparados,Gravilias,5328.571429,15666
San José,Desamparados,Los Guido,8059.477124,24662
San José,Puriscal,Santiago,353.0996524,12189
San José,Puriscal,Mercedes Sur,38.81828685,7056
San José,Puriscal,Barbacoas,274.1138561,5104
San José,Puriscal,Grifo Alto,59.46969697,1570
San José,Puriscal,San Rafael,139.0967742,2156
San José,Puriscal,Candelarita,60.34418257,1613
San José,Puriscal,Desamparaditos,125.6232687,907
San José,Puriscal,San Antonio,335.7045144,4908
San José,Puriscal,Chires,13.15858225,3022
San José,Tarrazú,San Marcos,231.9426336,10674
San José,Tarrazú,San Lorenzo,25.74480648,4796
San José,Tarrazú,San Carlos,39.68792402,2340
San José,Aserrí,Aserrí,1907.732634,29112
San José,Aserrí,Tarbaca,120.4693611,1848
San José,Aserrí,Vuelta de Jorco,333.2426304,7348
San José,Aserrí,San Gabriel,537.254902,6302
San José,Aserrí,Legua,19.06226926,1549
San José,Aserrí,Monterrey,61.352657,508
San José,Aserrí,Salitrillos,901.0460251,12921
San José,Mora,Colón,433.0408624,17274
San José,Mora,Guayabo,587.3473918,5292
San José,Mora,Tabarcia,118.5505813,4793
San José,Mora,Piedras Negras,44.08602151,656
San José,Mora,Picagres,40.90574374,1111
San José,Mora,Jaris,265.0273224,1456
San José,Mora,Quitirrisí,66.34109692,1766
San José,Goicoechea,Guadalupe,8750.209205,20913
San José,Goicoechea,San Francisco,4101.724138,2379
San José,Goicoechea,Calle Blancos,7158.474576,16894
San José,Goicoechea,Mata de Plátano,2883.311938,22461
San José,Goicoechea,Ipís,12704.8,31762
San José,Goicoechea,Rancho Redondo,254.204893,3325
San José,Goicoechea,Purral,11456.66667,34370
San José,Santa Ana,Santa Ana,2423.897059,13186
San José,Santa Ana,Salitral,227.9940858,4626
